id|first_name|last_name|email|password|active|confirmed_at|
1|Admin||admin|$pbkdf2-sha512$25000$2/v/31ur9b6XsraWco4x5g$bftmzJwiXQrFuqP156L.SwVOCAWLoRpjTwP3PDRfgazm5zG9QIKOgentK1kggHQ8RugH5ENjbClA43g9YA9aTQ|True|1899-12-30 00:00:00|
2|Harry|Brown|harry.brown@example.com|$pbkdf2-sha512$25000$HsM4J.Scs7aWcq4V4hyD8A$xuLviCsRE2MI3tma.L.9WO80FOrTIDBBtOIRvRDMLrlgAMIkirsUvtCur0IF7n4z4xJbvYDx..ydSFJGquWBpg|True|1899-12-30 00:00:00|
3|Amelia|Smith|amelia.smith@example.com|$pbkdf2-sha512$25000$Vurd.19LiVHqfS9lDGFsTQ$I9/rZ/Fjh7quSZ3DhBH6fY9HtmLfK8t/bdTFL5ngG3he/vatm/qyXZbkgjK7v93Wtvgi07vixBEBXln4nDe9mw|True|1899-12-30 00:00:00|
4|Oliver|Patel|oliver.patel@example.com|$pbkdf2-sha512$25000$3bu31nqvdS7lHOOccy4FAA$x4N8bm63qwjBe/8Pi2TP2Jm1Id7o41VQvqd8aq1RGMNQxMefuNbZ.9olWx1xhsj0fiZxIcsFQNz6BI7nlBSe9Q|True|1899-12-30 00:00:00|
5|Jack|Jones|jack.jones@example.com|$pbkdf2-sha512$25000$3bs3xti7F0JICUHo/V/LeQ$hbxlV5gDBfZwBWANjT8zTyIowKlK/Pz3pPwEKnAfq7YaEO0XRzGLEAe7ATCjKDb7WkB03YYPSOfMfhdJ0v4FoQ|True|1899-12-30 00:00:00|
6|Isabella|Williams|isabella.williams@example.com|$pbkdf2-sha512$25000$SYkRgvAeQyhFKKU0xvgfww$hddhGzbpvN.8Ub74fM1k01nr/BhEtjVTRCNSfECTJoAu1kwM2AQpphIj49e3HjjP.DOdd6Zzj.vnRMNvSmKnCg|True|1899-12-30 00:00:00|
7|Charlie|Johnson|charlie.johnson@example.com|$pbkdf2-sha512$25000$1BojZEzpnRPCmFOqldJ6jw$sY8UPDIcxnlVwAmnn8PULPDw2VmLrROIpnWg4IgZCemrODwnbvHbqxlVKwIHzBAS8shhi6ftqTjFPz3D0Ocfvw|True|1899-12-30 00:00:00|
8|Sophie|Taylor|sophie.taylor@example.com|$pbkdf2-sha512$25000$lnIuJaRUCsE4ZyzlXEvpXQ$tcmB1hY1XWMAco9H5gtQLV.OI.pc3PzOHJCEbEM7JqImmgeZPNralg1Ppm4Qs0uvDZ36Rj9juP0UrWjOGNjN.g|True|1899-12-30 00:00:00|
9|Mia|Thomas|mia.thomas@example.com|$pbkdf2-sha512$25000$UypFaI3xHqO0NqY0hvB.7w$5/Pcxws6Da4sLzBwoXvkOx1AAaYfHHgZMEPGi1RtJypZlLsudaLcioBxsftI7UjH2aMW.AoZAtpaGUIlfwGg8Q|True|1899-12-30 00:00:00|
10|Jacob|Roberts|jacob.roberts@example.com|$pbkdf2-sha512$25000$6z1H6B2j1BoD4Nx7j5HyXg$FHqlwLQf3K/e57swi9UUnBVLv5ePY8cLnW4aSMN1ZdWdkbU5uKfAVsMwYflD4bsmRslzqgTpbemQkkK8G63uug|True|1899-12-30 00:00:00|
